index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
168,port lincoln,-34.72,135.86,58.47,76,AU,1542663937,97,13.65
169,point pedro,9.82,80.23,79.3,92,LK,1542665000,100,14.2
170,belen,36.49,36.19,51.8,0,TR,1542660600,76,2.24
171,innisfail,52.02,-113.95,44.6,75,CA,1542661200,70,4.7
172,la ronge,55.1,-105.3,10.4,90,CA,1542661200,78,12.75
173,funadhoo,6.15,73.27,83.98,8,MV,1542665000,100,5.37
174,bubaque,11.28,-15.83,80.6,0,GW,1542661200,74,8.16
175,barrow,-38.31,-60.23,82.94,8,AR,1542664536,31,18.79
176,saldanha,41.42,-6.55,46.22,76,PT,1542663793,94,2.91
177,laguna,27.52,-110.01,84.2,20,MX,1542660300,21,4.7
179,torbay,47.66,-52.73,30.2,40,CA,1542661200,68,11.41
180,ponta pora,-22.54,-55.73,78.8,40,BR,1542661200,65,4.7
182,kalemie,-5.95,29.2,76.15,64,CD,1542665004,100,5.48
183,ilulissat,69.22,-51.1,37.4,75,GL,1542660600,40,23.04
187,beloha,-25.17,45.06,71.52,32,MG,1542664589,83,7.49
188,madison heights,42.49,-83.11,39.02,1,US,1542663300,63,8.05
189,upernavik,72.79,-56.15,21.74,0,GL,1542664552,100,18.79
190,hofn,64.25,-15.21,41.37,8,IS,1542664571,99,4.25
191,beringovskiy,63.05,179.32,17.24,32,RU,1542664613,100,21.14
192,sabha,27.03,14.43,67.29,44,LY,1542663971,31,4.14
193,xingyi,24.19,102.82,56.3,0,CN,1542665005,83,7.94
194,mahebourg,-20.41,57.7,75.2,40,MU,1542661200,83,4.7
195,emerald,-23.53,148.16,72.42,80,AU,1542664626,70,9.28
197,ust-kuyga,70,135.55,-30.91,56,RU,1542665006,0,2.91
198,mar del plata,-46.43,-67.52,74.49,0,AR,1542664537,29,32.32
199,narsaq,60.91,-46.05,39.2,88,GL,1542660600,51,2.24
200,bethel,60.79,-161.76,32,90,US,1542663420,100,9.17
